CODE,시설 이름,이용가능시간,이용료,기타
A043,마재게이트볼장,,,
A044,매곡위드배드민턴,"평일 09:00 ~ 23:30
공휴일 09:00 ~ 11:00",,
A045,"모아레포츠타운
골프연습장",06:00-22:30(동계 21년2월말까지),,
A046,무등정,,,https://cafe.naver.com/anarcheryfield
A047,문화게이트볼장,,,
A048,문화근린공원,,,
A049,"문화근린공원
인조잔디구장",,"주중(20,000), 주말(30,000)",
A050,발산 게이트볼장,,,
A051,보라매축구공원,,,
A052,봉선 테니스장,,,
A053,"북구 건강복지타운
(우산수영장)","월~금요일 : 06:00~21:00
토요일 : 06:00~18:00
일요일(2, 4주), 공휴일 : 09:00~18:00
매월 첫번째, 세번째 일요일 / 명절연휴",,http://bgsc.kr/
A054,북구 국민체육센터,,,
A055,"북구종합운동장
야구장",,"주중(10,000), 주말(15,000)",
A056,북구태봉생활체육관,,,
A057,빛고을 체육관,,"2,000",
A058,빛고을국민체육센터,,,
A059,"빛고을국민체육센터
수영장",,,
A060,빛고을노인건강타운 수영장,전화문의,,http://www.bitown.or.kr/home/utilization.php?mid=41
A061,빛고을노인건강타운 체육관,,,
A062,"산동교 친수지구
축구장",,,
A063,산수 게이트볼장,,,
A064,삼정게이트볼장,,,
A065,상무게이트볼장,,,
A066,상무시민공원 농구장,,,
A067,상무시민공원 배구장,,,
A068,상무시민공원 배드민턴장,,,
A069,"상무시민공원
종합운동장","평일(33,000), 토.공휴일(42,900)",,
A070,"상무시민공원
테니스장",,,
A071,상무인공암벽장,,,
A072,서광게이트볼장,,,
A073,서구 국민체육센터,,,
A074,"서구문화센터
체육관",,,
A075,서창게이틀볼장,,,
A076,서창동 축구장,,,
A077,"서향순올림픽제패
기념 양궁장",,,
A078,송무정,,,
A079,송정1교구장,,,
A080,수완 인라인롤러경기장,,"2,000",
A081,승촌게이트볼장,,,
A082,신암근린공원 테니스장,,,
A083,쌍암공원 인조잔디 축구장,,,
A084,안청공원테니스장,,,
A085,여성발전센터 수영장,"이용 시간 월~금 06:.00~21:00
매월 2,4째주 휴무
법정공유일 휴장",,
A086,염주 종합체육관,,,
A087,염주 테니스장,,"평일 - 3500, 주말 - 6900",
A088,염주골프센터,"하절기(3월~11월) : 05:30 ~ 24:00
동절기(12월~2월) : 05:30 ~ 23:00",,
A089,"올림픽기념
국민생활관",,,
A090,용산 게이트볼장,,,
A091,용산생활체육시설 인조잔디구장,,"평일(15,000), 공휴일(15,000)",
A092,용흥공원 게이트볼장,,,
A093,"운남생활체육시설단지
야구장",,,
A094,운남체육시설단지 축구장,,,
A095,월곡공원테니스장,,,
A096,유덕동 족구장,,,
A097,,,,
A098,"장애인종합복지관
체육관",,,
A099,전천후게이트볼장,,,
A100,전천후테니스장,,"평일 주(20,000), 야(30,000), 주말 주(30,000), 야(39,000)",
A101,중흥 정구장,,,
A102,진월국제테니스장,,,
A103,첨단 론볼장,,,
A104,첨단 생활 체육공원 족구장,,,
A105,첨단 실내배드민턴장,,,
A106,첨단 인라인스케이트장,,,
A107,첨단 전천후게이트볼장,,,
A108,첨단다목적체육센터,,,
A109,첨단대상파크골프장,,,
A110,첨단종합운동장 소프트볼장(3면),,,
A111,"첨단종합운동장
야구장",,,
A112,"첨단종합운동장
축구장",,,
